H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,totals
10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,98.57142857142858,93.61904762,81.09756098,96.75,97.0,94.69796748042857
10.0,10.0,10.0,9.9,9.5,9.0,10.0,10.0,97.71428571428572,76.0952381,66.46341463,96.5,86.0,87.69332171878571
10.0,10.0,9.5,10.0,9.5,10.0,10.0,10.0,98.57142857142858,86.38095238,85.36585366,95.0,95.0,93.76440185842857
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,100.0,83.07692308,98.93,95.0,94.5,95.772192308
10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,98.57142857142858,91.9047619,95.12195122,94.5,91.0,94.68019744442859
10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,99.42857142857142,93.05263158,93.01470588,94.8,94.7,95.72104046857143
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,99.85714285714286,94.23076923,93.6,93.0,93.17,95.31271978014286
9.5,10.0,10.0,10.0,9.9,10.0,10.0,10.0,99.14285714285714,88.84210526,85.29411765,95.0,95.3,94.24618531635714
9.5,9.9,10.0,10.0,10.0,9.5,10.0,10.0,98.42857142857143,87.61904762,85.97560976,94.5,91.0,92.83681765457143
10.0,10.0,10.0,10.0,10.0,8.5,9.5,10.0,97.14285714285714,78.0952381,85.97560976,95.0,95.0,92.59872241685714
10.0,10.0,10.0,10.0,10.0,10.0,9.75,10.0,99.64285714285714,89.89473684,92.27941176,95.0,95.7,95.64924259085714
10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,99.85714285714286,87.89473684,94.11764706,94.0,95.7,95.58926360014286
10.0,10.0,10.0,9.8,9.5,9.0,9.0,10.0,96.14285714285714,89.42857143,86.58536585,95.5,94.0,93.37351916335714
10.0,9.9,9.9,10.0,10.0,10.0,9.8,9.8,99.42857142857142,86.15384615,60.42,95.13,94.17,90.07545604357142
10.0,10.0,9.5,10.0,9.5,9.0,10.0,10.0,97.14285714285714,77.9047619,78.04878049,96.75,97.0,92.24065040635713
10.0,9.9,9.5,10.0,10.0,10.0,10.0,10.0,99.14285714285714,84.76190476,88.41463415,96.5,96.0,94.78124274135713
10.0,10.0,10.0,10.0,9.9,9.8,10.0,10.0,99.57142857142857,94.92307692,96.46,95.63,92.5,96.08373626342858
10.0,10.0,10.0,9.9,10.0,7.0,8.0,8.0,92.71428571428572,76.92307692,84.71,98.88,94.0,91.48909340628572
9.75,10.0,9.5,9.5,9.5,10.0,9.5,10.0,96.78571428571429,65.78947368,69.85294118,89.0,96.3,87.96760283071428
10.0,10.0,9.5,9.9,9.25,9.5,10.0,10.0,97.35714285714286,68.47619048,68.90243902,96.5,89.0,87.94012775814285
10.0,9.9,10.0,8.8,9.5,9.5,10.0,10.0,96.71428571428572,83.61904762,76.2195122,95.0,95.0,91.55911730628571
0.0,0.0,0.0,10.0,9.9,10.0,9.75,10.0,56.64285714285714,74.10526316,83.82352941,90.0,96.7,79.15191287035714
10.0,9.9,9.5,9.5,9.5,10.0,10.0,10.0,97.71428571428572,72.76190476,79.26829268,95.5,94.0,91.08072009228572
